episode,total_reward,learning_rate
1,-158.61730640009037,0.96
2,-159.04107815176252,0.9216
3,-160.19425386860965,0.884736
4,-159.398574116081,0.84934656
5,-159.26637480407953,0.8153726976
6,-158.72584118098015,0.782757789696
7,-159.1158423922956,0.7514474781081599
8,-156.83575572595,0.7213895789838335
9,-158.29000312983993,0.6925339958244802
10,-157.51040793880819,0.6648326359915009
11,-155.82542878761888,0.6382393305518408
12,-154.58194352835417,0.6127097573297672
13,-157.41670943200594,0.5882013670365764
14,-157.38402546122657,0.5646733123551133
15,-158.16941471397868,0.5420863798609088
16,-146.46856130063532,0.5204029246664724
17,-158.47101394385098,0.4995868076798135
18,-157.16860008314245,0.47960333537262095
19,-158.40545850545172,0.4604192019577161
20,-158.26378741487864,0.4420024338794074
21,-156.44970809295774,0.42432233652423107
22,-158.1898830071093,0.4073494430632618
23,-158.05644779279837,0.3910554653407313
24,-158.3618902921677,0.3754132467271021
25,-158.02137693911797,0.360396716858018
26,-157.99939130321138,0.3459808481836973
27,-126.71463684439662,0.33214161425634936
28,-158.61832272857424,0.3188559496860954
29,-145.4273801028728,0.3061017116986515
30,-159.07659867778415,0.29385764323070546
31,-86.68426020145418,0.2821033375014772
32,-76.85784402489661,0.2708192040014181
33,-159.2345526888966,0.2599864358413614
34,-158.44287324920325,0.2495869784077069
35,-159.4478106096389,0.23960349927139862
36,-71.23686589598657,0.23001935930054268
37,-81.26718607246879,0.22081858492852097
38,-76.91052230000498,0.21198584153138011
39,-120.56197081804278,0.2035064078701249
40,-69.24405372440815,0.1953661515553199
41,-158.34044970870045,0.1875515054931071
42,-82.49298824071879,0.1800494452733828
43,-84.1304130882024,0.17284746746244747
44,-159.26461039334535,0.16593356876394957
45,-108.56892101168626,0.15929622601339158
46,-158.2781321741639,0.1529243769728559
47,-89.41067063510417,0.14680740189394167
48,-86.73789880573746,0.140935105818184
49,-158.16852715313453,0.13529770158545662
50,-79.21168459057809,0.12988579352203836
51,-110.33526180684565,0.12469036178115682
52,-81.92064325511454,0.11970274730991054
53,-71.17622779905793,0.11491463741751412
54,-80.14019963443279,0.11031805192081355
55,-159.31139794066584,0.105905329843981
56,-80.39898188710211,0.10166911665022176
57,-63.746966105699556,0.09760235198421288
58,-78.49633626341821,0.09369825790484436
59,-65.49186508655548,0.08995032758865058
60,-72.5692321896553,0.08635231448510455
61,-158.3507909692827,0.08289822190570037
62,-82.8921392291784,0.07958229302947235
63,-76.74977514743806,0.07639900130829345
64,-77.92131619751454,0.07334304125596171
65,-79.34834253191947,0.07040931960572323
66,-75.16094946563256,0.0675929468214943
67,-64.12682227194308,0.06488922894863453
68,-120.7047386646271,0.06229365979068914
69,-62.87039987742902,0.059801913399061574
70,-71.28409520983695,0.05740983686309911
71,-158.44289511963763,0.05511344338857514
72,-73.36782776117327,0.052908905653032134
73,-56.631392872333514,0.050792549426910846
74,-158.19473372325336,0.04876084744983441
75,-59.01601591706275,0.04876084744983441
76,-109.31688501238825,0.04876084744983441
77,-56.3487148284912,0.04876084744983441
78,-55.51231092214584,0.04876084744983441
79,-92.8877744317055,0.04876084744983441
80,-55.516631615161906,0.04876084744983441
81,-83.14119324088094,0.04876084744983441
82,-156.34521571844815,0.04876084744983441
83,-89.34105640649798,0.04876084744983441
84,-54.48860627412794,0.04876084744983441
