episode,total_reward,learning_rate
1,69.58172312080852,0.0
2,65.41134398654098,0.0
3,54.686861045658546,0.0
4,62.52497925460345,0.0
5,57.51339088901877,0.0
6,62.065455822646676,0.0
7,58.37530742809185,0.0
8,54.23259881809354,0.0
9,59.983876696228904,0.0
10,66.66273352205754,0.0
11,59.26438606381416,0.0
12,60.68473472073664,0.0
13,59.98341917246577,0.0
14,57.16489881724126,0.0
15,60.41435827612876,0.0
16,61.93130203112962,0.0
17,56.71284329220651,0.0
18,64.8910902924836,0.0
19,60.53215584680443,0.0
20,55.10518503487113,0.0
21,62.767617265880126,0.0
22,59.47288639396431,0.0
23,64.13465251028535,0.0
24,60.342041976004744,0.0
25,61.85611738264568,0.0
26,54.781914140284016,0.0
27,60.590376935154275,0.0
28,55.60824697986239,0.0
29,57.13095519393691,0.0
30,64.27934007719168,0.0
31,58.55583231151098,0.0
32,62.26884807124737,0.0
33,61.55459518805142,0.0
34,67.45233611389986,0.0
35,59.503449310362335,0.0
36,68.64387344494466,0.0
37,64.45936495587229,0.0
38,64.47713026851397,0.0
39,56.848642340302334,0.0
40,62.724540509283585,0.0
41,62.59539845809335,0.0
42,63.151550827175456,0.0
43,57.573682264238585,0.0
44,62.02285471707584,0.0
45,63.25065205767746,0.0
46,61.137100376933915,0.0
47,57.36515288278458,0.0
48,59.00019069239492,0.0
49,61.027142477780565,0.0
50,61.34730143919587,0.0
51,61.37107789814464,0.0
52,60.3773657061161,0.0
53,61.71105646714573,0.0
54,64.80173287391656,0.0
55,55.06516651436677,0.0
56,63.00565140098326,0.0
57,61.02550040259961,0.0
58,58.11321212798364,0.0
59,59.206792815029694,0.0
60,64.42769880518314,0.0
61,61.99554525315765,0.0
62,54.61053352281443,0.0
63,60.68060981333245,0.0
64,59.515498794615326,0.0
65,64.60155749022957,0.0
66,56.4839998692275,0.0
67,58.04470961093909,0.0
68,57.75418796613805,0.0
69,56.84481816813342,0.0
70,66.50286402702336,0.0
71,55.71246380954988,0.0
72,59.34209880828857,0.0
73,62.965985017269865,0.0
74,59.07068317756063,0.0
75,56.45582730174059,0.0
76,62.14092685133226,0.0
77,60.61105829551815,0.0
78,63.376443440467156,0.0
79,60.35038929879657,0.0
80,55.14570518881089,0.0
81,66.52024310752758,0.0
82,56.13192804604763,0.0
83,59.75273119062195,0.0
84,56.30061879754061,0.0
85,59.80065460167821,0.0
86,56.9458009362221,0.0
87,64.03661640137432,0.0
88,67.94877208992835,0.0
89,62.003824770450656,0.0
90,58.40250288695095,0.0
91,55.97482287660244,0.0
92,61.673448686301775,0.0
93,60.54697688668958,0.0
94,60.77572803199296,0.0
95,65.49244551286098,0.0
96,61.244687143713215,0.0
97,56.33678217008712,0.0
98,57.30802106931801,0.0
99,61.39889606162912,0.0
100,58.53898730650552,0.0
101,64.24529737979182,0.0
102,65.58072132915274,0.0
103,64.38747594505554,0.0
104,69.30381995737551,0.0
105,58.07770838662978,0.0
106,58.303596041351504,0.0
107,61.11784401908509,0.0
108,57.47521726936105,0.0
109,65.00111514180887,0.0
110,60.445776030421214,0.0
111,62.78702982142568,0.0
112,61.34745276570323,0.0
113,60.97577632293104,0.0
114,59.926941518485584,0.0
115,64.44316206723448,0.0
116,59.367907395958916,0.0
117,60.72483990713944,0.0
118,59.60161086618894,0.0
119,60.38893944174049,0.0
120,57.72592140138146,0.0
